id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,expected_routes,actual_routes,duration_ms,iteration_count,failures
conversation_greeting,routing,True,True,True,True,True,,True,,,,[],[],11579.572,0,[]
conversation_capabilities,routing,True,True,True,True,True,,True,,,,[],[],7061.724,0,[]
conversation_out_of_scope,routing,True,True,True,True,True,,True,,,,[],[],3457.924,0,[]
rag_ultrasonic_principle,routing,True,True,True,True,True,,True,,,,"[""rag_agent""]","[""rag_agent""]",42915.506,1,[]
rag_uno_memory,routing,True,True,True,True,True,,True,,,,"[""rag_agent""]","[""rag_agent""]",39810.438,1,[]
rag_servo_pwm,routing,True,True,True,True,True,,True,,,,"[""rag_agent""]","[""rag_agent""]",27604.081,1,[]
wiring_single_hcsr04,routing,True,True,True,True,True,,True,True,,,"[""wiring_agent""]","[""wiring_agent""]",20407.576,1,[]
wiring_i2c_shared_bus,routing,True,True,True,True,True,,True,True,,,"[""wiring_agent""]","[""wiring_agent""]",105117.538,1,[]
wiring_raspberry_pi_supported,routing,True,True,True,True,True,,True,True,,,"[""wiring_agent""]","[""wiring_agent""]",81145.112,1,[]
wiring_unknown_component,routing,False,True,True,True,True,,True,,,,"[""wiring_agent""]","[""wiring_agent""]",39248.742,1,"[""final answer did not contain 'Unknown component'""]"
coding_generic_python_out_of_scope,routing,True,True,True,True,True,,True,,,,[],[],2030.815,0,[]
coding_create_arduino_approved,routing,True,True,True,True,True,True,True,True,,,"[""coding_agent""]","[""coding_agent""]",19337.394,1,[]
coding_create_rejected,routing,True,True,True,True,True,True,True,True,,,[],[],3480.333,0,[]
coding_review_rejected,routing,False,True,True,True,True,False,True,True,,,[],[],3186.089,0,"[""expected 1 approval(s), observed 0""]"
visualization_generic_robot_approved,routing,True,True,True,True,True,True,True,True,,,"[""robot_visualization_agent""]","[""robot_visualization_agent""]",9873.962,1,[]
visualization_generic_robot_rejected,routing,True,True,True,True,True,True,True,True,,,[],[],2915.732,0,[]
component_local_inventory,routing,False,True,False,False,True,,True,,,,"[""component_manager""]","[""component_manager""]",3243.232,1,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'hc-sr04'}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'hc-sr04'}, 'matching_argument_count': 0}]""]"
component_unknown_inventory,routing,False,True,False,False,True,,True,,,,"[""component_manager""]","[""component_manager""]",3679.909,1,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'flux-capacitor'}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'flux-capacitor'}, 'matching_argument_count': 0}]""]"
component_digikey_search,routing,False,True,False,False,True,,True,False,,,"[""component_manager""]","[""component_manager""]",13419.357,1,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'actual_count': 0}, {'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'matching_argument_count': 0}]"", ""project state did not contain expected subset: {\""product_cards\"": {\""min_items\"": 1}}""]"
