id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,task_completion_correct,expected_routes,actual_routes,duration_ms,iteration_count,min_steps,step_efficiency_ratio,total_tokens,cost_usd,failures
conversation_greeting,routing,True,True,True,True,True,,True,,,,True,[],[],3810.407,0,,,1702,0.000314,[]
conversation_capabilities,routing,True,True,True,True,True,,True,,,,True,[],[],3063.446,0,,,1815,0.000358,[]
conversation_out_of_scope,routing,True,True,True,True,True,,True,,,,True,[],[],3184.23,0,,,1781,0.00034,[]
rag_ultrasonic_principle,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",67140.646,1,1,1.0,14184,0.003912,[]
rag_uno_memory,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",48485.905,1,1,1.0,8529,0.002108,[]
rag_servo_pwm,routing,True,True,True,True,True,,True,,,,False,"[""rag_agent""]","[""rag_agent""]",46384.181,1,1,1.0,8732,0.002345,[]
wiring_single_hcsr04,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",21016.79,1,1,1.0,14733,0.01101,[]
wiring_i2c_shared_bus,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",104310.126,1,1,1.0,18542,0.013413,[]
wiring_raspberry_pi_supported,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",123490.11,1,1,1.0,21388,0.0212,[]
wiring_single_dht11,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",77466.193,1,1,1.0,14282,0.01056,[]
wiring_unknown_component_consults_rag,routing,True,True,True,True,True,,True,,,,,"[""wiring_agent"", ""rag_agent""]","[""wiring_agent"", ""rag_agent""]",71532.733,2,2,1.0,14505,0.007,[]
coding_generic_python_out_of_scope,routing,True,True,True,True,True,,True,,,,,[],[],1924.015,0,,,1883,0.000375,[]
coding_create_arduino_approved,routing,True,True,True,True,True,True,True,True,,,False,"[""coding_agent""]","[""coding_agent""]",5921.069,1,1,1.0,5976,0.003157,[]
coding_create_rejected,routing,True,True,True,True,True,True,True,True,,,,[],[],2708.211,0,,,1934,0.000439,[]
coding_review_rejected,routing,False,True,True,True,True,False,True,True,,,,[],[],2620.217,0,,,1954,0.000418,"[""expected 1 approval(s), observed 0""]"
visualization_generic_robot_approved,routing,False,True,True,True,True,True,True,False,,,False,"[""robot_visualization_agent""]","[""robot_visualization_agent""]",20859.398,1,1,1.0,7031,0.002076,"[""project state did not contain expected subset: {\""model_artifact\"": {\""ends_with\"": \"".svg\""}}""]"
visualization_generic_robot_rejected,routing,True,True,True,True,True,True,True,True,,,,[],[],2873.995,0,,,1852,0.000361,[]
component_digikey_search,routing,False,True,False,False,True,,True,False,,,,"[""component_manager""]","[""component_manager""]",4032.168,1,1,1.0,3369,0.000679,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'matching_argument_count': 0}]"", ""project state did not contain expected subset: {\""product_cards\"": {\""min_items\"": 1}}""]"
component_purchase_proposal,routing,False,True,False,False,False,False,True,False,,,,"[""component_manager""]","[""component_manager""]",13047.791,1,1,1.0,3314,0.000686,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'actual_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}]"", ""required tool order was not observed"", ""expected 1 approval(s), observed 0"", ""project state did not contain expected subset: {\""purchase\"": {\""proposal\"": {\""ap2\"": {\""human_confirmation_required\"": true}, \""quantity\"": 2, \""status\"": \""pending\"", \""success\"": true}}}""]"
multi_wiring_then_code,routing,True,True,True,True,True,True,True,True,True,,False,"[""wiring_agent"", ""coding_agent""]","[""wiring_agent"", ""coding_agent""]",91201.472,2,2,1.0,24608,0.021498,[]
multi_wiring_code_rejected,routing,True,True,True,True,True,True,True,True,,,,"[""wiring_agent""]","[""wiring_agent""]",69413.066,1,,,14873,0.011517,[]
multi_wiring_then_visualization,routing,False,True,True,True,True,True,True,False,,,False,"[""wiring_agent"", ""robot_visualization_agent""]","[""wiring_agent"", ""robot_visualization_agent""]",103060.137,2,2,1.0,23540,0.01313,"[""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""model_artifact\"": {\""ends_with\"": \"".svg\""}, \""wiring\"": {\""valid\"": true}}""]"
multi_full_design_chain,routing,False,True,True,True,True,True,True,False,True,,False,"[""wiring_agent"", ""coding_agent"", ""robot_visualization_agent""]","[""wiring_agent"", ""coding_agent"", ""robot_visualization_agent""]",127069.771,3,3,1.0,35724,0.023047,"[""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""code_artifact\"": {\""ends_with\"": \"".ino\""}, \""model_artifact\"": {\""ends_with\"": \"".svg\""}, \""wiring\"": {\""valid\"": true}}""]"
multi_wiring_then_digikey_search,routing,False,True,False,True,True,,True,True,,,,"[""wiring_agent"", ""component_manager""]","[""wiring_agent"", ""component_manager""]",56969.54,2,2,1.0,16386,0.009661,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'actual_count': 0}]""]"
guardrail_adversarial_input,guardrail,True,True,True,True,True,,True,,,,,[],[],1075.741,0,,,222,3.8e-05,[]
guardrail_input_pii_rag,guardrail,True,True,True,True,True,,True,,,,,"[""rag_agent""]","[""rag_agent""]",33843.98,1,,,9489,0.002494,[]
guardrail_input_pii_component_manager,guardrail,False,True,False,True,True,,True,,,,,"[""component_manager""]","[""component_manager""]",3318.662,1,,,3364,0.00069,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'actual_count': 0}]""]"
recovery_system_b_unreachable,recovery,False,False,True,True,True,,True,,,True,,"[""component_manager"", ""component_manager"", ""component_manager""]","[""component_manager""]",5479.263,1,,,3306,0.000668,"[""expected routes ['component_manager', 'component_manager', 'component_manager'], got ['component_manager']""]"
