id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,task_completion_correct,expected_routes,actual_routes,duration_ms,iteration_count,min_steps,step_efficiency_ratio,total_tokens,cost_usd,failures
conversation_greeting,routing,True,True,True,True,True,,True,,,,True,[],[],3936.523,0,,,1701,0.000314,[]
conversation_capabilities,routing,True,True,True,True,True,,True,,,,True,[],[],2820.619,0,,,1815,0.000358,[]
conversation_out_of_scope,routing,True,True,True,True,True,,True,,,,True,[],[],3061.413,0,,,1780,0.000339,[]
rag_ultrasonic_principle,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",53137.236,1,1,1.0,8399,0.002254,[]
rag_uno_memory,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",54783.105,1,1,1.0,8547,0.002114,[]
rag_servo_pwm,routing,True,True,True,True,True,,True,,,,False,"[""rag_agent""]","[""rag_agent""]",29722.067,1,1,1.0,7060,0.001802,[]
wiring_single_hcsr04,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",18933.913,1,1,1.0,14257,0.010668,[]
wiring_i2c_shared_bus,routing,False,True,False,True,False,,True,False,,,False,"[""wiring_agent""]","[""wiring_agent""]",22416.759,1,1,1.0,4979,0.002452,"[""missing required tools: [{'agent': 'wiring_agent', 'tool': 'get_board', 'actual_count': 0}, {'agent': 'wiring_agent', 'tool': 'get_component', 'min_count': 2, 'actual_count': 0}, {'agent': 'wiring_agent', 'tool': 'allocate_pins', 'actual_count': 0}, {'agent': 'wiring_agent', 'tool': 'validate_wiring', 'actual_count': 0}, {'agent': 'wiring_agent', 'tool': 'format_wiring_plan', 'actual_count': 0}]"", ""required tool order was not observed"", ""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""wiring\"": {\""assignments\"": {\""mpu6050\"": {\""GND\"": \""GND\"", \""SCL\"": \""A5\"", \""SDA\"": \""A4\"", \""VCC\"": \""3V3\""}, \""ssd1306\"": {\""GND\"": \""GND\"", \""SCL\"": \""A5\"", \""SDA\"": \""A4\"", \""VCC\"": \""3V3\""}}, \""valid\"": true}}""]"
wiring_raspberry_pi_supported,routing,True,True,True,True,True,,True,True,,,False,"[""wiring_agent""]","[""wiring_agent""]",107604.952,1,1,1.0,19774,0.016682,[]
wiring_single_dht11,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",69204.547,1,1,1.0,13338,0.009053,[]
